"","soft_strain","spot_strain","soft_geno","spot_geno","N","IZ_diff","median","sd","se","ci"
"146","145B","126B","OA","OC",3,9.563,8.215,2.46144611966218,1.42111657978272,6.11457113129433
"147","145B","135A","OA","OE",3,11.8783333333333,11.753,1.25171495690246,0.722677967316317,3.10943232880335
"148","145B","135B","OA","OE",3,13.1356666666667,13.281,1.05652370221086,0.609984243876658,2.62455037202006
"149","145B","137B","OA","OA",3,12.7876666666667,12.686,1.02728006567505,0.593100422450626,2.55190515167275
"150","145B","144A","OA","OA",3,0,0,0,0,0
"151","145B","145B","OA","OA",3,0,0,0,0,0
"152","145B","147A","OA","OC",3,13.099,13.244,2.21606069411467,1.27944323828765,5.50499994177787
"153","145B","149A","OA","OE",3,14.5086666666667,14.433,1.00563727721944,0.580604952709767,2.49814148468274
"154","145B","152A","OA","OA",3,12.2726666666667,12.898,2.37068457061106,1.36871537500599,5.88910694451956
"155","145B","152B","OA","OA",3,10.666,10.672,1.91100706435115,1.10332044302641,4.74720471597598
"156","145B","154C","OA","OA",3,0,0,0,0,0
"157","145B","157B","OA","OC",3,11.8713333333333,11.854,1.17509588261271,0.678441924150067,2.91909999692076
"158","145B","158","OA","OC",3,10.9133333333333,11.045,1.64944606863436,0.952308131739816,4.09745118259293
"159","145B","159","OA","OE",3,13.2546666666667,14.05,2.21387270034511,1.27817999949581,5.49956466394182
"160","145B","165A","OA","OC",3,12.6126666666667,11.633,2.26166362072996,1.30577210024482,5.61828389154908
"161","145B","168A","OA","OE",3,11.7236666666667,10.832,1.83671563758066,1.06042826778199,4.56265458107567
"162","145B","170C","OA","OC",3,13.342,13.373,1.48074339438,0.854907597346053,3.67837050740455
"163","145B","41","OA","CC",3,9.902,8.64,3.28701734099472,1.89776034665427,8.16540373594228
"164","145B","53","OA","CC",3,7.521,7.357,1.58935867569281,0.917616659250111,3.94818582378607
"165","145B","57","OA","CC",3,11.681,11.048,1.88784506779555,1.08994785808007,4.68966712685279
"166","145B","67","OA","CC",3,8.02766666666667,7.988,2.25076216720766,1.29947814311917,5.59120317974146
"167","145B","74","OA","CC",3,10.765,11.509,3.47820010925191,2.00813976937198,8.64032806040679
"168","145B","77","OA","CC",3,13.2696666666667,13.72,1.45764204567971,0.841570027455298,3.62098357590587
