"","time","supernatant","inoculant","N","OD","median","sd","se","ci"
"190",0,"145B","67",5,0,0,0,0,0
"191",0,"145B","74",5,0,0,0,0,0
"192",0,"145B","77",5,0,0,0,0,0
"193",0,"147A","122A",5,0,0,0,0,0
"194",0,"147A","126B",5,0,0,0,0,0
"195",0,"147A","135A",5,0,0,0,0,0
"196",0,"147A","135B",5,0,0,0,0,0
"197",0,"147A","137B",5,0,0,0,0,0
"198",0,"147A","144A",5,0,0,0,0,0
"199",0,"147A","145B",5,0,0,0,0,0
"200",0,"147A","147A",5,0,0,0,0,0
"201",0,"147A","149A",5,0,0,0,0,0
"202",0,"147A","152A",5,0,0,0,0,0
"203",0,"147A","152B",5,0,0,0,0,0
"204",0,"147A","154C",5,0,0,0,0,0
"205",0,"147A","157B",5,0,0,0,0,0
"206",0,"147A","158",5,0,0,0,0,0
"207",0,"147A","159",5,0,0,0,0,0
"208",0,"147A","165A",5,0,0,0,0,0
"209",0,"147A","168A",5,0,0,0,0,0
"210",0,"147A","170C",5,0,0,0,0,0
"211",0,"147A","41",5,0,0,0,0,0
"212",0,"147A","53",5,0,0,0,0,0
"213",0,"147A","57",5,0,0,0,0,0
"214",0,"147A","67",5,0,0,0,0,0
"215",0,"147A","74",5,0,0,0,0,0
"216",0,"147A","77",5,0,0,0,0,0
"217",0,"149A","122A",5,0,0,0,0,0
"218",0,"149A","126B",5,0,0,0,0,0
"219",0,"149A","135A",5,0,0,0,0,0
"220",0,"149A","135B",5,0,0,0,0,0
"221",0,"149A","137B",5,0,0,0,0,0
"222",0,"149A","144A",5,0,0,0,0,0
"223",0,"149A","145B",5,0,0,0,0,0
"224",0,"149A","147A",5,0,0,0,0,0
"225",0,"149A","149A",5,0,0,0,0,0
"226",0,"149A","152A",5,0,0,0,0,0
"227",0,"149A","152B",5,0,0,0,0,0
"228",0,"149A","154C",5,0,0,0,0,0
"229",0,"149A","157B",5,0,0,0,0,0
"230",0,"149A","158",5,0,0,0,0,0
"231",0,"149A","159",5,0,0,0,0,0
"232",0,"149A","165A",5,0,0,0,0,0
"233",0,"149A","168A",5,0,0,0,0,0
"234",0,"149A","170C",5,0,0,0,0,0
"235",0,"149A","41",5,0,0,0,0,0
"236",0,"149A","53",5,0,0,0,0,0
"237",0,"149A","57",5,0,0,0,0,0
"238",0,"149A","67",5,0,0,0,0,0
"239",0,"149A","74",5,0,0,0,0,0
"240",0,"149A","77",5,0,0,0,0,0
"241",0,"152A","122A",5,0,0,0,0,0
"242",0,"152A","126B",5,0,0,0,0,0
"243",0,"152A","135A",5,0,0,0,0,0
"244",0,"152A","135B",5,0,0,0,0,0
"245",0,"152A","137B",5,0,0,0,0,0
"246",0,"152A","144A",5,0,0,0,0,0
"247",0,"152A","145B",5,0,0,0,0,0
"248",0,"152A","147A",5,0,0,0,0,0
"249",0,"152A","149A",5,0,0,0,0,0
"250",0,"152A","152A",5,0,0,0,0,0
"251",0,"152A","152B",5,0,0,0,0,0
"252",0,"152A","154C",5,0,0,0,0,0
"253",0,"152A","157B",5,0,0,0,0,0
"254",0,"152A","158",5,0,0,0,0,0
"255",0,"152A","159",5,0,0,0,0,0
"256",0,"152A","165A",5,0,0,0,0,0
"257",0,"152A","168A",5,0,0,0,0,0
"258",0,"152A","170C",5,0,0,0,0,0
"259",0,"152A","41",5,0,0,0,0,0
"260",0,"152A","53",5,0,0,0,0,0
"261",0,"152A","57",5,0,0,0,0,0
"262",0,"152A","67",5,0,0,0,0,0
"263",0,"152A","74",5,0,0,0,0,0
"264",0,"152A","77",5,0,0,0,0,0
"265",0,"152B","122A",5,0,0,0,0,0
"266",0,"152B","126B",5,0,0,0,0,0
"267",0,"152B","135A",5,0,0,0,0,0
"268",0,"152B","135B",5,0,0,0,0,0
"269",0,"152B","137B",5,0,0,0,0,0
"270",0,"152B","144A",5,0,0,0,0,0
"271",0,"152B","145B",5,0,0,0,0,0
