"","time","supernatant","inoculant","N","comp_ind","median","sd","se","ci"
"436",0,"170C","135B",5,NA,NA,NA,NA,NA
"437",0,"170C","137B",5,NA,NA,NA,NA,NA
"438",0,"170C","144A",5,NA,NA,NA,NA,NA
"439",0,"170C","145B",5,NA,NA,NA,NA,NA
"440",0,"170C","147A",5,NA,NA,NA,NA,NA
"441",0,"170C","149A",5,NA,NA,NA,NA,NA
"442",0,"170C","152A",5,NA,NA,NA,NA,NA
"443",0,"170C","152B",5,NA,NA,NA,NA,NA
"444",0,"170C","154C",5,NA,NA,NA,NA,NA
"445",0,"170C","157B",5,NA,NA,NA,NA,NA
"446",0,"170C","158",5,NA,NA,NA,NA,NA
"447",0,"170C","159",5,NA,NA,NA,NA,NA
"448",0,"170C","165A",5,NA,NA,NA,NA,NA
"449",0,"170C","168A",5,NA,NA,NA,NA,NA
"450",0,"170C","170C",5,NA,NA,NA,NA,NA
"451",0,"170C","41",5,NA,NA,NA,NA,NA
"452",0,"170C","53",5,NA,NA,NA,NA,NA
"453",0,"170C","57",5,NA,NA,NA,NA,NA
"454",0,"170C","67",5,NA,NA,NA,NA,NA
"455",0,"170C","74",5,NA,NA,NA,NA,NA
"456",0,"170C","77",5,NA,NA,NA,NA,NA
"457",0,"41","122A",5,NA,NA,NA,NA,NA
"458",0,"41","126B",5,NA,NA,NA,NA,NA
"459",0,"41","135A",5,NA,NA,NA,NA,NA
"460",0,"41","135B",5,NA,NA,NA,NA,NA
"461",0,"41","137B",5,NA,NA,NA,NA,NA
"462",0,"41","144A",5,NA,NA,NA,NA,NA
"463",0,"41","145B",5,NA,NA,NA,NA,NA
"464",0,"41","147A",5,NA,NA,NA,NA,NA
"465",0,"41","149A",5,NA,NA,NA,NA,NA
"466",0,"41","152A",5,NA,NA,NA,NA,NA
"467",0,"41","152B",5,NA,NA,NA,NA,NA
"468",0,"41","154C",5,NA,NA,NA,NA,NA
"469",0,"41","157B",5,NA,NA,NA,NA,NA
"470",0,"41","158",5,NA,NA,NA,NA,NA
"471",0,"41","159",5,NA,NA,NA,NA,NA
"472",0,"41","165A",5,NA,NA,NA,NA,NA
"473",0,"41","168A",5,NA,NA,NA,NA,NA
"474",0,"41","170C",5,NA,NA,NA,NA,NA
"475",0,"41","41",5,NA,NA,NA,NA,NA
"476",0,"41","53",5,NA,NA,NA,NA,NA
"477",0,"41","57",5,NA,NA,NA,NA,NA
"478",0,"41","67",5,NA,NA,NA,NA,NA
"479",0,"41","74",5,NA,NA,NA,NA,NA
"480",0,"41","77",5,NA,NA,NA,NA,NA
"481",0,"50% TY","122A",5,NA,NA,NA,NA,NA
"482",0,"50% TY","126B",5,NA,NA,NA,NA,NA
"483",0,"50% TY","135A",5,NA,NA,NA,NA,NA
