"","inoculant","supernatant","time","N","OD","median","sd","se","ci"
"157","126B","144A",62,5,0.19394,0.1934,0.00238285542994115,0.00106564534438058,0.00295870580028228
"158","126B","145B",0,5,0,0,0,0,0
"159","126B","145B",24,5,0.04246,0.0419,0.00551117047459068,0.00246467036335491,0.00684302196626279
"160","126B","145B",39,5,0.12442,0.1242,0.00474784161488144,0.00212329931945545,0.0058952240023719
"161","126B","145B",48,5,0.15562,0.1568,0.00354217447339908,0.00158410858213697,0.00439819051897601
"162","126B","145B",62,5,0.1875,0.1878,0.00403298896601516,0.0018036074961033,0.00500761720425405
"163","126B","147A",0,5,0,0,0,0,0
"164","126B","147A",24,5,0.03192,0.0335,0.00679646967182228,0.00303947363864206,0.00843893170638547
"165","126B","147A",39,5,0.10644,0.1066,0.00515684011774653,0.00230620901047585,0.00640306271869872
"166","126B","147A",48,5,0.14292,0.1438,0.00344485123045975,0.00154058430473636,0.0042773477520298
"167","126B","147A",62,5,0.18274,0.1853,0.00669835800775085,0.00299559676859219,0.00831710998530412
"168","126B","149A",0,5,0,0,0,0,0
"169","126B","149A",24,5,0.0261,0.025,0.00649615270756469,0.00290516780926679,0.00806603894381698
"170","126B","149A",39,5,0.09666,0.096,0.00620950883725919,0.00277697677339944,0.00771012356975285
"171","126B","149A",48,5,0.13816,0.1383,0.00259094577326505,0.00115870617500728,0.00321708408796142
"172","126B","149A",62,5,0.18334,0.1843,0.00656985540175733,0.00293812865613472,0.00815755292576661
"173","126B","152A",0,5,0,0,0,0,0
"174","126B","152A",24,5,0.023,0.0218,0.00240312296813958,0.00107470926301023,0.00298387127279549
"175","126B","152A",39,5,0.1046,0.1052,0.0020591260281974,0.000920869154657707,0.00255674265697702
"176","126B","152A",48,5,0.1427,0.1422,0.0052853571307907,0.00236368356596225,0.00656263766695235
"177","126B","152A",62,5,0.18392,0.1859,0.0034938517427046,0.00156249799999872,0.00433818992397779
"178","126B","152B",0,5,0,0,0,0,0
"179","126B","152B",24,5,0.04218,0.0402,0.00490836021498015,0.00219508541975022,0.00609453416915655
"180","126B","152B",39,5,0.1215,0.1217,0.00329545141065681,0.00147377067415524,0.00409184337444237
"181","126B","152B",48,5,0.14444,0.1455,0.00431138028942009,0.00192810788079921,0.00535328568793824
"182","126B","152B",62,5,0.2076,0.2093,0.00908074886779719,0.00406103435099975,0.0112752389458734
"183","126B","154C",0,5,0,0,0,0,0
"184","126B","154C",24,5,0.01982,0.0174,0.00487719181496894,0.00218114648751522,0.00605583348898101
"185","126B","154C",39,5,0.13788,0.1362,0.00644879833767502,0.0028839902912458,0.00800724072756735
"186","126B","154C",48,5,0.18416,0.1825,0.00618287958802369,0.00276506781110337,0.00767705898967794
"187","126B","154C",62,5,0.24736,0.2476,0.00373737876057538,0.00167140659326209,0.00464056865465786
"188","126B","157B",0,5,0,0,0,0,0
"189","126B","157B",24,5,0.05346,0.0544,0.00263495730515695,0.00117838873042812,0.0032717316226174
