"inoc_sup_strain_rep","supernatant","sup_geno","inoculant","inoc_geno","inoc_sup_strain","rep","AUC","MaxOD","OD_62h","AUC_index","RGI"
"149A_100_TY_1","100_TY",NA,"149A","OE","149A_100_TY",1,6.8142,0.2609,0.2609,1.05877143234488,1.15904042647712
"149A_100_TY_2","100_TY",NA,"149A","OE","149A_100_TY",2,6.9948,0.2808,0.2808,1.11558918987887,1.23918799646955
"149A_100_TY_3","100_TY",NA,"149A","OE","149A_100_TY",3,7.27665,0.2899,0.2899,1.12373752972789,1.2474182444062
"149A_100_TY_4","100_TY",NA,"149A","OE","149A_100_TY",4,7.3393,0.2868,0.2868,1.18532575341581,1.23780750971083
"149A_100_TY_5","100_TY",NA,"149A","OE","149A_100_TY",5,7.14575,0.2862,0.2862,1.22057768515988,1.40362923001471
"41_100_TY_1","100_TY",NA,"41","CC","41_100_TY",1,7.06705,0.2915,0.2915,1.13550621013224,1.29786286731968
"41_100_TY_2","100_TY",NA,"41","CC","41_100_TY",2,6.67245,0.2788,0.2788,1.08029628430341,1.24021352313167
"41_100_TY_3","100_TY",NA,"41","CC","41_100_TY",3,6.76325,0.2867,0.2867,1.00539620481793,1.18471074380165
"41_100_TY_4","100_TY",NA,"41","CC","41_100_TY",4,6.8972,0.286,0.286,0.965129295869248,1.10127069695803
"41_100_TY_5","100_TY",NA,"41","CC","41_100_TY",5,7.0289,0.2736,0.2736,1.0758081302804,1.1462086300796
"126B_100_TY_1","100_TY",NA,"126B","OC","126B_100_TY",1,6.238,0.2621,0.2621,0.891888220870299,1.0799340749897
"126B_100_TY_2","100_TY",NA,"126B","OC","126B_100_TY",2,6.2953,0.2644,0.2644,1.05988618762206,1.0957314546208
"126B_100_TY_3","100_TY",NA,"126B","OC","126B_100_TY",3,6.29120000000001,0.2641,0.2641,1.09795024389393,1.11906779661017
"126B_100_TY_4","100_TY",NA,"126B","OC","126B_100_TY",4,6.14395,0.2631,0.2631,1.04610813617905,1.09625
"126B_100_TY_5","100_TY",NA,"126B","OC","126B_100_TY",5,6.36215,0.269,0.269,1.08156604078302,1.13502109704641
"53_100_TY_1","100_TY",NA,"53","CC","53_100_TY",1,7.19605,0.3216,0.3216,1.0092070571076,1.30519480519481
"53_100_TY_2","100_TY",NA,"53","CC","53_100_TY",2,6.9816,0.3149,0.3149,0.988678123074964,1.29163248564397
"53_100_TY_3","100_TY",NA,"53","CC","53_100_TY",3,7.25615,0.3222,0.3222,1.03700025009825,1.35151006711409
"53_100_TY_4","100_TY",NA,"53","CC","53_100_TY",4,7.3593,0.3245,0.3245,0.975148571920735,1.25434866640897
"53_100_TY_5","100_TY",NA,"53","CC","53_100_TY",5,7.7745,0.3258,0.3258,1.04285014855702,1.26918582002337
"135B_100_TY_1","100_TY",NA,"135B","OE","135B_100_TY",1,8.0616,0.315,0.315,1.39292101148154,1.31195335276968
"135B_100_TY_2","100_TY",NA,"135B","OE","135B_100_TY",2,8.48825,0.3217,0.3217,1.41796966355952,1.3211498973306
"135B_100_TY_3","100_TY",NA,"135B","OE","135B_100_TY",3,7.6712,0.3109,0.3109,1.27200371426676,1.26023510336441
"135B_100_TY_4","100_TY",NA,"135B","OE","135B_100_TY",4,8.29175000000001,0.3173,0.3173,1.26760940187273,1.22556971803785
"135B_100_TY_5","100_TY",NA,"135B","OE","135B_100_TY",5,8.02305,0.3194,0.3194,1.38009598513779,1.32311516155758
"57_100_TY_1","100_TY",NA,"57","CC","57_100_TY",1,7.26815,0.3036,0.3036,1.27494627899838,1.31770833333333
"57_100_TY_2","100_TY",NA,"57","CC","57_100_TY",2,6.9256,0.2891,0.2891,1.80808542300312,1.6168903803132
"57_100_TY_3","100_TY",NA,"57","CC","57_100_TY",3,6.36185,0.2739,0.2739,1.12286105105238,1.24274047186933
"57_100_TY_4","100_TY",NA,"57","CC","57_100_TY",4,6.70725,0.2902,0.2902,1.13241712322407,1.24176294394523
"57_100_TY_5","100_TY",NA,"57","CC","57_100_TY",5,6.9451,0.2958,0.2958,1.00949155498706,1.16640378548896
"135A_100_TY_1","100_TY",NA,"135A","OE","135A_100_TY",1,8.34005,0.2979,0.2979,1.4177248542336,1.51680244399185
"135A_100_TY_2","100_TY",NA,"135A","OE","135A_100_TY",2,8.29405,0.2974,0.2974,1.43913971404775,1.48848848848849
"135A_100_TY_3","100_TY",NA,"135A","OE","135A_100_TY",3,7.4926,0.2876,0.2876,1.31887591202331,1.48553719008264
"135A_100_TY_4","100_TY",NA,"135A","OE","135A_100_TY",4,7.67145,0.2926,0.2926,1.43355414988741,1.39399714149595
"135A_100_TY_5","100_TY",NA,"135A","OE","135A_100_TY",5,7.14835,0.2805,0.2805,1.22767983650056,1.35115606936416
"77_100_TY_1","100_TY",NA,"77","CC","77_100_TY",1,6.95990000000001,0.3114,0.3114,0.938788998745568,1.17865253595761
"77_100_TY_2","100_TY",NA,"77","CC","77_100_TY",2,7.1387,0.3098,0.3098,0.94676463176881,1.17126654064272
"77_100_TY_3","100_TY",NA,"77","CC","77_100_TY",3,7.2973,0.3128,0.3128,0.985961735934712,1.19207317073171
"77_100_TY_4","100_TY",NA,"77","CC","77_100_TY",4,7.42575,0.3139,0.3139,0.977393879565647,1.16561455625696
"77_100_TY_5","100_TY",NA,"77","CC","77_100_TY",5,7.9285,0.3247,0.3247,0.904764893501694,1.17858439201452
"159_100_TY_1","100_TY",NA,"159","OE","159_100_TY",1,9.1158,0.3178,0.3178,1.25040121805687,1.33585540142917
"159_100_TY_2","100_TY",NA,"159","OE","159_100_TY",2,8.8552,0.3125,0.3125,1.18403230443183,1.26518218623482
"159_100_TY_3","100_TY",NA,"159","OE","159_100_TY",3,8.60105,0.3128,0.3128,1.13828470848249,1.23783142065691
"159_100_TY_4","100_TY",NA,"159","OE","159_100_TY",4,8.14705,0.3004,0.3004,1.09606484595722,1.2377420683972
"159_100_TY_5","100_TY",NA,"159","OE","159_100_TY",5,7.9149,0.3029,0.3029,1.07078933661632,1.23834832379395
"74_100_TY_1","100_TY",NA,"74","CC","74_100_TY",1,7.75485,0.3336,0.3336,1.09700669109222,1.16765838291915
"74_100_TY_2","100_TY",NA,"74","CC","74_100_TY",2,7.06175,0.3196,0.3196,0.991101941713508,1.13012729844413
"74_100_TY_3","100_TY",NA,"74","CC","74_100_TY",3,7.5215,0.3292,0.3292,1.03032835166642,1.1595632264882
"74_100_TY_4","100_TY",NA,"74","CC","74_100_TY",4,7.6554,0.33,0.33,1.06085570760436,1.13989637305699
"74_100_TY_5","100_TY",NA,"74","CC","74_100_TY",5,9.89135,0.3592,0.3592,1.22340478163535,1.23351648351648
"168A_100_TY_1","100_TY",NA,"168A","OE","168A_100_TY",1,8.481,0.2983,0.2983,2.63716786641583,2.22778192681105
"168A_100_TY_2","100_TY",NA,"168A","OE","168A_100_TY",2,8.2563,0.3006,0.3006,2.66327962452219,2.2929061784897
"168A_100_TY_3","100_TY",NA,"168A","OE","168A_100_TY",3,8.80859999999999,0.3095,0.3095,2.57418393290277,2.26573938506589
"168A_100_TY_4","100_TY",NA,"168A","OE","168A_100_TY",4,8.29605,0.2977,0.2977,2.5568003205227,2.35150078988942
"168A_100_TY_5","100_TY",NA,"168A","OE","168A_100_TY",5,7.9203,0.2927,0.2927,2.3870705244123,2.29388714733542
"67_100_TY_1","100_TY",NA,"67","CC","67_100_TY",1,8.20165,0.331,0.331,1.31181273641867,1.27063339731286
"67_100_TY_2","100_TY",NA,"67","CC","67_100_TY",2,7.86045,0.3336,0.3336,1.31093803420585,1.3940660259089
"67_100_TY_3","100_TY",NA,"67","CC","67_100_TY",3,8.103,0.3354,0.3354,1.32488554610857,1.3893951946976
"67_100_TY_4","100_TY",NA,"67","CC","67_100_TY",4,8.6224,0.3323,0.3323,1.32854655552303,1.31551860649248
"67_100_TY_5","100_TY",NA,"67","CC","67_100_TY",5,9.154,0.3311,0.3311,1.39889207258835,1.33669761808639
"152B_50_TY_1","50_TY",NA,"152B","OA","152B_50_TY",1,7.65395,0.2437,0.2437,0.931556783467011,0.865104721334753
"152B_50_TY_2","50_TY",NA,"152B","OA","152B_50_TY",2,7.59245,0.2273,0.2273,0.889999238059513,0.755651595744681
"152B_50_TY_3","50_TY",NA,"152B","OA","152B_50_TY",3,7.2794,0.2469,0.2469,0.923149111015295,0.882100750267953
"152B_50_TY_4","50_TY",NA,"152B","OA","152B_50_TY",4,7.31885,0.2666,0.2666,0.950629631313361,0.95487106017192
"152B_50_TY_5","50_TY",NA,"152B","OA","152B_50_TY",5,7.6786,0.2668,0.2668,0.992984475322811,0.944424778761062
"147A_50_TY_1","50_TY",NA,"147A","OC","147A_50_TY",1,5.87225,0.2285,0.2285,1.00898633149769,1.01510439804531
