"inoc_sup_strain_rep","supernatant","sup_geno","inoculant","inoc_geno","inoc_sup_strain","rep","AUC","MaxOD","OD_62h","MaxGrowthRate","TimeMaxGrowthRate","AbsMaxGrowthRate","AUC_index","RGI","MaxGrowthRate_index"
"165A_100_TY_1","100_TY",NA,"165A","OC","165A_100_TY",1,7.7475,0.307,0.307,0.0054,48,0.2192,1.08183398613409,1.35242290748899,1.33264781491003
"165A_100_TY_2","100_TY",NA,"165A","OC","165A_100_TY",2,7.71005,0.3077,0.3077,0.00537916666666667,48,0.2118,1.1119916925673,1.41276400367309,1.38519313304721
"165A_100_TY_3","100_TY",NA,"165A","OC","165A_100_TY",3,7.485,0.2971,0.2971,0.00520833333333333,48,0.2039,1.10302244359628,1.39614661654135,1.36761487964989
"165A_100_TY_4","100_TY",NA,"165A","OC","165A_100_TY",4,7.78345,0.293,0.293,0.00500416666666667,48,0.2135,1.16664543253918,1.36788048552754,1.36788154897494
"165A_100_TY_5","100_TY",NA,"165A","OC","165A_100_TY",5,7.70785,0.2979,0.2979,0.00522708333333333,48,0.2143,1.18778749470278,1.4206008583691,1.40717891194616
"144A_100_TY_1","100_TY",NA,"144A","OA","144A_100_TY",1,10.651,0.3862,0.3862,0.00646875,48,0.3099,1.3425686662549,1.40897482670558,1.39175257731959
"144A_100_TY_2","100_TY",NA,"144A","OA","144A_100_TY",2,10.36505,0.3829,0.3829,0.00651041666666667,48,0.3001,1.27958051195319,1.41814814814815,1.42369020501139
"144A_100_TY_3","100_TY",NA,"144A","OA","144A_100_TY",3,10.22735,0.3733,0.3733,0.00631458333333333,48,0.2989,1.2891753064633,1.46220133176655,1.41967213114754
"144A_100_TY_4","100_TY",NA,"144A","OA","144A_100_TY",4,10.20565,0.3753,0.3753,0.0064375,48,0.2998,1.25570908285553,1.39568612867237,1.43854748603352
"144A_100_TY_5","100_TY",NA,"144A","OA","144A_100_TY",5,10.3296,0.3724,0.3724,0.00632291666666667,24,0.0717,1.28711341490767,1.42137404580153,1.43295561850803
"122A_100_TY_1","100_TY",NA,"122A","OC","122A_100_TY",1,7.896,0.326,0.326,0.00569375,48,0.2161,1.24820183689277,1.47178329571106,1.57068965517241
"122A_100_TY_2","100_TY",NA,"122A","OC","122A_100_TY",2,7.7015,0.316,0.316,0.00549791666666666,48,0.2065,1.2102616484639,1.3920704845815,1.50113765642776
