time,supernatant ,sup_geno,inoculant ,inoc_geno,OD_raw,OD,comp_ind,comp_ind_50TY
0,152B,OA,168A,OE,0.0987,0,,
0,152B,OA,168A,OE,0.0982,0,,
0,152B,OA,168A,OE,0.0986,0,,
0,152B,OA,168A,OE,0.0972,0,,
0,152B,OA,168A,OE,0.0979,0,,
0,152B,OA,67,CC,0.0983,0,,
0,152B,OA,67,CC,0.0985,0,,
0,152B,OA,67,CC,0.0981,0,,
0,152B,OA,67,CC,0.0983,0,,
0,152B,OA,67,CC,0.0983,0,,
0,137B,OA,152B,OA,0.1045,0,,
0,137B,OA,152B,OA,0.1072,0,,
0,137B,OA,152B,OA,0.1078,0,,
0,137B,OA,152B,OA,0.1072,0,,
0,137B,OA,152B,OA,0.1055,0,,
0,137B,OA,147A,OC,0.1055,0,,
0,137B,OA,147A,OC,0.1064,0,,
0,137B,OA,147A,OC,0.1107,0,,
0,137B,OA,147A,OC,0.111,0,,
0,137B,OA,147A,OC,0.1105,0,,
0,137B,OA,137B,OA,0.1064,0,,
0,137B,OA,137B,OA,0.1057,0,,
0,137B,OA,137B,OA,0.1059,0,,
0,137B,OA,137B,OA,0.1065,0,,
0,137B,OA,137B,OA,0.1038,0,,
0,137B,OA,158,OC,0.1035,0,,
0,137B,OA,158,OC,0.1074,0,,
0,137B,OA,158,OC,0.1058,0,,
0,137B,OA,158,OC,0.1057,0,,
0,137B,OA,158,OC,0.1055,0,,
0,137B,OA,152A,OA,0.0973,0,,
0,137B,OA,152A,OA,0.0982,0,,
0,137B,OA,152A,OA,0.0976,0,,
0,137B,OA,152A,OA,0.0978,0,,
0,137B,OA,152A,OA,0.0987,0,,
0,137B,OA,170C,OC,0.0986,0,,
0,137B,OA,170C,OC,0.1023,0,,
0,137B,OA,170C,OC,0.1031,0,,
0,137B,OA,170C,OC,0.1048,0,,
0,137B,OA,170C,OC,0.1041,0,,
0,137B,OA,145B,OA,0.0977,0,,
0,137B,OA,145B,OA,0.0984,0,,
0,137B,OA,145B,OA,0.0988,0,,
0,137B,OA,145B,OA,0.0983,0,,
0,137B,OA,145B,OA,0.0969,0,,
0,137B,OA,157B,OC,0.0982,0,,
0,137B,OA,157B,OC,0.0965,0,,
0,137B,OA,157B,OC,0.0971,0,,
0,137B,OA,157B,OC,0.097,0,,
0,137B,OA,157B,OC,0.0974,0,,
0,137B,OA,154C,OA,0.1032,0,,
0,137B,OA,154C,OA,0.1032,0,,
0,137B,OA,154C,OA,0.0989,0,,
0,137B,OA,154C,OA,0.0989,0,,
0,137B,OA,154C,OA,0.0976,0,,
0,137B,OA,165A,OC,0.0974,0,,
0,137B,OA,165A,OC,0.0973,0,,
0,137B,OA,165A,OC,0.0974,0,,
0,137B,OA,165A,OC,0.0978,0,,
0,137B,OA,165A,OC,0.098,0,,
0,137B,OA,144A,OA,0.0985,0,,
0,137B,OA,144A,OA,0.0991,0,,
0,137B,OA,144A,OA,0.0987,0,,
0,137B,OA,144A,OA,0.0981,0,,
0,137B,OA,144A,OA,0.0977,0,,
0,137B,OA,122A,OC,0.0974,0,,
