time,supernatant ,sup_geno,inoculant ,inoc_geno,OD_raw,OD,comp_ind
0,50% TY,50% TY,154C,OA,0.1312,0,
0,50% TY,50% TY,154C,OA,0.1363,0,
0,50% TY,50% TY,154C,OA,0.1293,0,
0,50% TY,50% TY,165A,OC,0.1297,0,
0,50% TY,50% TY,165A,OC,0.1323,0,
0,50% TY,50% TY,165A,OC,0.1299,0,
0,50% TY,50% TY,165A,OC,0.1366,0,
0,50% TY,50% TY,165A,OC,0.1366,0,
0,50% TY,50% TY,144A,OA,0.1434,0,
0,50% TY,50% TY,144A,OA,0.1436,0,
0,50% TY,50% TY,144A,OA,0.1405,0,
0,50% TY,50% TY,144A,OA,0.1384,0,
0,50% TY,50% TY,144A,OA,0.1344,0,
0,50% TY,50% TY,122A,OC,0.1343,0,
0,50% TY,50% TY,122A,OC,0.1357,0,
0,50% TY,50% TY,122A,OC,0.1381,0,
0,50% TY,50% TY,122A,OC,0.1428,0,
0,50% TY,50% TY,122A,OC,0.1404,0,
0,50% TY,50% TY,149A,OE,0.1255,0,
0,50% TY,50% TY,149A,OE,0.1245,0,
0,50% TY,50% TY,149A,OE,0.1248,0,
0,50% TY,50% TY,149A,OE,0.1288,0,
0,50% TY,50% TY,149A,OE,0.1279,0,
0,50% TY,50% TY,41,CC,0.1282,0,
0,50% TY,50% TY,41,CC,0.1305,0,
0,50% TY,50% TY,41,CC,0.1292,0,
0,50% TY,50% TY,41,CC,0.1261,0,
0,50% TY,50% TY,41,CC,0.1262,0,
0,50% TY,50% TY,126B,OC,0.1276,0,
0,50% TY,50% TY,126B,OC,0.1289,0,
0,50% TY,50% TY,126B,OC,0.1273,0,
0,50% TY,50% TY,126B,OC,0.1298,0,
0,50% TY,50% TY,126B,OC,0.1281,0,
0,50% TY,50% TY,53,CC,0.1271,0,
0,50% TY,50% TY,53,CC,0.1272,0,
0,50% TY,50% TY,53,CC,0.1267,0,
0,50% TY,50% TY,53,CC,0.1268,0,
0,50% TY,50% TY,53,CC,0.1251,0,
0,50% TY,50% TY,135B,OE,0.1258,0,
0,50% TY,50% TY,135B,OE,0.1285,0,
0,50% TY,50% TY,135B,OE,0.1289,0,
0,50% TY,50% TY,135B,OE,0.1306,0,
0,50% TY,50% TY,135B,OE,0.1247,0,
0,50% TY,50% TY,57,CC,0.1296,0,
0,50% TY,50% TY,57,CC,0.138,0,
0,50% TY,50% TY,57,CC,0.1273,0,
0,50% TY,50% TY,57,CC,0.1265,0,
0,50% TY,50% TY,57,CC,0.1272,0,
0,50% TY,50% TY,135A,OE,0.124,0,
0,50% TY,50% TY,135A,OE,0.1271,0,
